title,is_complite,genre,author,synopsis,price,total_episode,comment,img_link
구르미 그린 달빛 [독점],완결,로맨스,윤이수,"철저한 금녀(禁女)의 구역.
환관들의 은밀한 세상에 한 여인이 뛰어들었다

19세기, 조선.
여인과 관련한 일이라면 해결 못하는 일이 없는 ‘여자문제 고민상담 전문가’ 삼놈이는 사실 남장여인이다.
어느 날 우연히 만난 화초서생으로 인해 팔자에도 없는 환관까지 되었으니…….
철저한 금녀(禁女)의 구역.
환관들의 은밀한 세상에 한 여인이 뛰어들었다.
그녀의 고민 상담에 구중궁궐이 들썩이기 시작한다.",1,131,6511,https://comicthumb-phinf.pstatic.net/20141010_110/pocket_1412915784499GktmY_JPEG/cloud.jpg?type=m260
허니허니 웨딩 [독점],완결,로맨스,노승아,"대한민국 예비고3에게 갑자기 떨어진 날벼락.
“뭐? 결혼을 하라구요?”
게다가 상대는……,
“나도 너 같은 것 관심 없어.”
입만 열면 독설을 퍼붓던 선생님이 정혼자? 하필이면 왜?
그리고 1년 후 벌어지는 그들의 한지붕 첩첩산중 로맨스.
살얼음판 같은 결혼생활이 이제 막 펼쳐진다.
풋내 작렬, 의욕 충만, 심쿵 주의,
독사 남편과 어린 새댁의 꿀향기 가득한 결혼 정복기!
어서 와, 결혼은 처음이지?",1,98,8891,https://comicthumb-phinf.pstatic.net/20160216_216/pocket_14556178273891qpTh_JPEG/h300.jpg?type=m260
장씨세가 호위무사 [독점],완결,무협,조형근,"하북 서남쪽, 심주현에 위치한 세가.
이백 년 전에는 성도를 비롯 서남쪽 중요 거점을 장악했던 곳이었으나 점점 가세가 기울다 오늘날 성도에 세력을 떨치고 있는 석가장에게 공격을 당한다.
이에 장씨세가는 재력을 이용해 고수들을 초빙한다.

그사이 선친 때부터 가주를 보좌했던 황 노인은 과거 은정을 베풀었던 한 사내의 기억을 떠올리며 그를 만나러 가는데…… .",1,340,18457,https://comicthumb-phinf.pstatic.net/20170222_150/pocket_1487714597820sUP2x_JPEG/%28%29.jpg?type=m260
수라왕 [삽화본],완결,무협,이대성,"어릴 때부터 셈에 밝았던 초류향.
유기산법무예학당에 입당한 그의 남다른 재능을 알아본 조기천 선생의 가르침으로 초류향은 산법에 있어 천재성을 발휘하게 된다.
그러던 어느 날 서고에서 '월인삼라산법술해'라는 책을 발견한 그는 책을 통해 촉한의 승상이었던 제갈공명과 만나는 기연을 얻는데...",2,309,5265,https://comicthumb-phinf.pstatic.net/20150130_144/pocket_1422603514525Mxe6h_JPEG/%BC%F6%B6%F3%BF%D5_%BD%C5%B1%D4_%C7%A5%C1%F6_%C0%CE%C5%B8%C0%CC%C6%B2.JPG?type=m260
원하는 건 너 하나 [독점],완결,로맨스,달콤J,"몇 번이고 배신당해도 받아줄게.
기꺼이 이용당해줄게!

사랑하는 여자의 배신으로 아픔을 간직한 채 살아온 청운그룹 후계자 반지후.
그리고 그의 하나뿐인 연인이었던 공은율.
5년이 지난 후, 두 사람이 다시 만났다. 그것도 부부라는 이름으로.
‘몇 번이고 배신당해도 받아줄게. 기꺼이 이용당해줄게. 그러니까 처음부터 다시 시작하자.’
두 사람은 5년이라는 시간과 서로의 아픔을 뛰어넘어 다시 사랑할 수 있을까.",1,96,3241,https://comicthumb-phinf.pstatic.net/20150202_224/pocket_14228417795267p3Ua_JPEG/%BF%F8%C7%CF%B4%C2_%B0%C7_%B3%CA_%C7%CF%B3%AA_%C7%A5%C1%F6%28%C0%CE%C5%B8%C0%CC%C6%B2%29.jpg?type=m260
낙향문사전 [독점],완결,무협,최현우(언라이팅),"낙방 서생 손빈은 뜻하지 않은 만남을 통해 사자혁과 인연을 맺게 된다.
그의 일대기를 쓰면서 천하를 주유하게 되는데…….
과연 손빈의 손끝에서 맺어지는 무림 일대기는 어떻게 흘러갈 것인가? 또한 두 사람의 운명의 끝은…….",1,494,17677,https://comicthumb-phinf.pstatic.net/20170220_269/pocket_148757100769002X4u_JPEG/__d.jpg?type=m260
해시의 신루 [독점],완결,로맨스,윤이수,"미래를 예언하는 신비한 능력을 가졌으나,
운명을 거부하고 도망치는 여인 해루.
어느 날 그녀 앞에 엉뚱한 선비가 나타났다.
천하제일 길치에 공갈을 일삼는 사악한 성품.
싸움은 몸이 아니라 머리로 하는 거라 주장하는 해괴한 사내.
그를 만난 순간, 해루의 멈춰진 운명이 다시 돌기 시작한다.
15세기, 조선.
실록이 기록하지 못한 조선 최고의 천재 군주와 운명의 사슬에 매인 신비한 여인. 오덕(五德)을 갖춘 조선 과학자들이 함께하는 두 사람의 달콤아슬한 사랑과 전쟁!",1,150,5452,https://comicthumb-phinf.pstatic.net/20160328_97/pocket_1459135510506rEcLr_JPEG/night_mirage2.jpg?type=m260
패왕연가 [독점],완결,무협,장영훈,"--악마적 카리스마로 흑도를 통일한 사파지존 이자성.
피도 눈물도 없는 그가 천하제패를 위해 아수라를 뽑아든다.그 앞에 나타난 한 여인.압도적 미모와 당찬 야망을 지닌 북천세가의 가주 백설영. 천하를 두고 벌이는 두 사람의 사랑과 야망의 대활극서사.“이 강호, 우리가 먹자!”
				--",1,300,4005,https://comicthumb-phinf.pstatic.net/20230406_68/pocket_16807451527440jYh5_JPEG/%C6%D0%BF%D5%BF%AC%B0%A1_%281%29.jpg?type=m260
마왕 [독점],완결,무협,요도 김남재,"마도천하(魔道天下)의 시대.
거대한 음모 속에서 죽어 버린 동생의 복수를 위해, 어둠에서 그가 돌아왔다.
마교 대공자 혁련휘와 정파 소속의 정체불명 남장여자 비설의 무림제패기.
훗날 마왕(魔王)이라 불릴 한 사내의 화려한 이야기가 시작된다!",1,350,3434,https://comicthumb-phinf.pstatic.net/20150518_91/pocket_1431912855829w6DC3_JPEG/cover.jpg?type=m260
미치도록 너만을 [단독],완결,로맨스,Lunar 이지연,"임시로 돌보던 사고뭉치 고양이를 찾아 호텔 VVIP 게스트 하우스까지 들어가게 된 인턴 세희.
그런데 하필 그곳은 하나 그룹 이재현 전무가 머무르는 곳.
그는 그룹 내 비리를 파헤치기 위해 평직원으로 위장 근무 중이다.
고양이를 잡는 순간 재현이 들어오고 부랴부랴 욕실로 숨는 세희.
잠시 후, 관능적인 숨소리와 함께 뜨거운 물줄기가 쏟아지고, 뿌연 수증기가 욕실을 가득 채운다.
촤악―. 갑자기 샤워 커튼이 열리고, 세희는 재현의 싸늘한 시선과 마주치는데…….
“마지막 근무하는 날까지 내 눈앞에 나타나지 말도록.”",1,102,1558,https://comicthumb-phinf.pstatic.net/20160127_159/pocket_1453872545950Jk8na_JPEG/crazy4u_cover.jpg?type=m260
